description,category,amount,timestamp
Airbnb stay,Health,186.19,2022-08-20 02:18:46
Train ticket,Food,253.2,2024-10-17 21:35:29
Dinner at restaurant,Transportation,286.13,2023-08-08 05:25:38
Amazon,,240.22,2023-01-12 02:59:18
Airbnb stay,Travel,141.06,2022-09-17 06:36:53
Train ticket,Entertainment,123.36,2023-07-10 00:11:48
Airbnb stay,Health,80.32,2023-05-09 08:59:29
Clothing purchase,Fitness,82.36,2024-06-01 22:34:27
Car repair,Fitness,119.13,2024-04-03 13:51:50
Dinner at restaurant,Entertainment,252.05,2024-03-19 09:28:39
Airbnb stay,Entertainment,168.5,2022-07-03 21:54:43
Airbnb stay,Health,236.87,2023-09-02 19:45:35
Car repair,Shopping,284.16,2023-02-08 16:38:15
Clothing purchase,Utilities,227.68,2022-04-13 09:02:19
Subscription,Food,81.3,2024-03-04 07:40:11
Gas @ Chevron,Transportation,31.42,2025-01-03 13:22:15
Substack sub,Transportation,32.2,2024-07-13 03:10:03
Flight ticket,Transportation,185.74,2024-10-13 08:45:57
Airbnb stay,Health,105.52,2023-12-17 05:34:26
Pharmacy purchase,Utilities,155.09,2024-09-01 21:16:40
Uber ride,Shopping,239.4,2023-08-23 17:58:20
Car repair,Food,215.38,2024-04-26 07:16:43
Coffee,Transportation,137.15,2023-05-27 23:53:25
Movie ticket,Health,267.31,2023-02-27 17:11:15
Train ticket,Fitness,98.7,2024-06-08 09:54:14
Subscription,Food,40.77,2023-01-24 05:56:10
Pharmacy purchase,Travel,105.71,2023-05-13 13:30:35
Car repair,Fitness,298.42,2023-04-25 13:09:40
Groceries,Travel,105.09,2024-03-12 17:34:32
Clothing purchase,Fitness,253.14,2023-07-01 10:44:56
Pharmacy purchase,Fitness,92.85,2022-08-25 07:12:19
Concert ticket,Travel,45.57,2022-10-08 19:57:18
Gym membership,Shopping,189.31,2023-11-26 06:48:38
Subscription,Transportation,187.87,2024-06-18 06:30:23
Car repair,Food,158.5,2022-09-11 13:12:22
Groceries,Fitness,229.19,2024-10-12 05:40:30
Gas @ Chevron,Transportation,128.24,2022-05-05 06:15:07
Gas @ Chevron,Food,217.58,2023-07-25 06:52:39
Clothing purchase,Health,275.33,2022-10-05 09:47:29
Uber ride,Fitness,149.56,2023-10-12 03:45:31
Concert ticket,Shopping,133.3,2024-11-28 00:59:20
Coffee,Health,45.96,2023-05-12 16:12:31
Airbnb stay,Shopping,86.05,2023-10-21 22:25:02
Concert ticket,Fitness,119.57,2023-09-05 03:43:13
Airbnb stay,Utilities,260.26,2025-03-09 21:21:07
Dinner at restaurant,Health,150.55,2025-02-23 23:16:39
Groceries,Fitness,281.01,2023-09-06 04:56:01
Gym membership,Food,252.11,2023-10-06 06:52:09
Flight ticket,Health,180.02,2023-03-11 17:16:06
Uber ride,Shopping,196.67,2023-04-11 02:36:04
Clothing purchase,Fitness,54.28,2025-01-02 02:40:58
Substack sub,Transportation,265.41,2025-03-13 19:26:14
Substack sub,Food,200.59,2024-02-11 08:14:23
Concert ticket,Entertainment,146.05,2023-08-19 04:32:31
Electricity bill,Fitness,205.89,2024-07-07 21:27:54
Gas @ Chevron,Food,274.44,2025-02-24 10:28:18
Gas @ Chevron,Utilities,211.76,2022-12-22 08:02:54
Train ticket,Shopping,55.77,2025-01-01 01:55:06
Dinner at restaurant,Utilities,153.73,2024-04-29 15:48:13
Substack sub,Travel,167.23,2024-11-12 16:19:05
Clothing purchase,Food,30.4,2024-02-15 07:01:01
Movie ticket,Entertainment,290.65,2024-10-15 13:29:04
Gym membership,Transportation,186.64,2024-02-22 10:21:24
Pharmacy purchase,Entertainment,290.41,2023-09-04 15:41:29
Online course,Entertainment,8.9,2022-08-22 12:11:25
Uber ride,Entertainment,40.96,2023-07-07 08:33:38
Gym membership,Health,43.08,2022-09-03 19:13:42
Dinner at restaurant,Utilities,161.36,2024-04-27 08:22:38
Subscription,Transportation,35.09,2023-05-18 03:01:48
Gym membership,Utilities,273.39,2024-01-18 22:54:11
Airbnb stay,Utilities,144.62,2024-04-09 12:05:25
Coffee,Food,190.99,2022-11-02 02:42:22
Uber ride,Travel,188.69,2022-07-19 10:07:13
Coffee,Health,243.96,2023-05-21 15:52:26
Gym membership,Shopping,115.27,2022-11-14 17:31:15
Train ticket,Health,141.75,2024-12-26 16:09:06
Gym membership,Utilities,276.75,2022-10-26 09:01:21
Uber ride,Health,11.33,2023-02-03 17:17:44
Pharmacy purchase,Fitness,13.96,2024-12-18 17:41:34
Gas @ Chevron,Utilities,142.85,2024-04-19 19:45:27
Pharmacy purchase,Utilities,215.32,2024-03-12 04:25:08
Movie ticket,Travel,198.71,2023-04-19 12:38:31
Groceries,Shopping,19.4,2023-03-24 10:05:35
Gas @ Chevron,Shopping,51.54,2023-09-25 08:10:23
Electricity bill,Shopping,138.08,2024-01-09 12:48:50
Pharmacy purchase,Health,251.19,2024-11-06 15:41:24
Pharmacy purchase,Entertainment,27.15,2024-03-10 17:37:57
Concert ticket,Fitness,297.32,2024-11-29 02:11:55
Gas @ Chevron,Transportation,137.32,2022-09-24 09:22:13
Movie ticket,Shopping,129.97,2024-09-23 06:03:49
Electricity bill,Utilities,40.23,2022-10-09 05:48:44
Movie ticket,Health,267.21,2023-12-09 08:27:04
Gas @ Chevron,Health,10.24,2024-07-15 23:37:10
Pharmacy purchase,Health,48.66,2024-09-19 15:57:12
Train ticket,Entertainment,176.08,2022-12-20 15:14:42
Gym membership,Entertainment,38.39,2024-12-22 19:36:17
Online course,Entertainment,98.31,2022-04-18 07:49:00
Airbnb stay,Entertainment,76.23,2023-10-30 15:16:03
Pharmacy purchase,Travel,157.29,2022-06-17 19:22:50
Substack sub,Utilities,174.51,2022-06-08 16:01:45
Electricity bill,Health,140.51,2023-06-13 09:18:19
Electricity bill,Fitness,292.13,2024-03-04 03:40:25
Online course,Food,121.05,2022-11-15 09:01:28
Clothing purchase,Shopping,264.87,2023-07-21 12:43:55
Groceries,Shopping,52.03,2023-12-15 15:22:05
Dinner at restaurant,Food,266.45,2023-11-25 16:51:15
Subscription,Fitness,178.8,2023-04-07 17:34:51
Uber ride,Fitness,242.98,2024-12-31 15:13:28
Gym membership,Fitness,54.4,2024-08-04 22:12:16
Airbnb stay,Travel,3.54,2024-03-11 13:25:45
Subscription,Transportation,239.5,2023-11-20 03:43:18
Subscription,Utilities,62.26,2024-07-07 04:26:51
Airbnb stay,Shopping,144.11,2023-09-08 20:47:29
